InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540114,46127B,WHITE MUG,9,2011-01-03 17:00:00,131.93,13390,Italy
540115,14704B,CANDLE,45,2011-01-03 17:30:00,27.47,15752,United Kingdom
540116,77958B,WATER BOTTLE,10,2011-01-03 18:00:00,64.39,15457,Spain
540117,65136A,WATER BOTTLE,33,2011-01-03 18:30:00,54.13,17110,Portugal
540118,48886A,WHITE MUG,50,2011-01-03 19:00:00,2.73,15537,Spain
540119,79495A,CANDLE,44,2011-01-03 19:30:00,45.21,14108,France
540120,12960A,PHOTO FRAME,46,2011-01-03 20:00:00,102.08,17270,United Kingdom
540121,83841C,CLOCK,30,2011-01-03 20:30:00,3.28,16971,France
540122,50834A,RED MUG,33,2011-01-03 21:00:00,133.25,15870,Belgium
540123,54708C,CANDLE,16,2011-01-03 21:30:00,62.08,15790,Italy
540124,28782C,PHOTO FRAME,36,2011-01-03 22:00:00,53.1,17788,Belgium
540125,51227C,TOY CAR,40,2011-01-03 22:30:00,84.05,13952,Norway
540126,15842C,GIFT BAG,47,2011-01-03 23:00:00,92.98,12903,Italy
540127,43865B,WHITE MUG,50,2011-01-03 23:30:00,70.05,16271,Netherlands
540128,70559C,CANDLE,26,2011-01-04 00:00:00,7.79,16279,Australia
540129,48066C,TOY CAR,4,2011-01-04 00:30:00,103.11,17127,Belgium
540130,54441A,CANDLE,15,2011-01-04 01:00:00,41.79,13693,Belgium
540131,51397A,CLOCK,31,2011-01-04 01:30:00,15.72,14766,Belgium
540132,72896B,CANDLE,19,2011-01-04 02:00:00,45.67,16006,France
540133,35676A,RED MUG,30,2011-01-04 02:30:00,137.47,16307,Spain
540134,14920B,NOTEBOOK,31,2011-01-04 03:00:00,28.25,13471,Spain
540135,11503A,CLOCK,10,2011-01-04 03:30:00,59.4,15694,Norway
540136,83989C,PHOTO FRAME,31,2011-01-04 04:00:00,23.93,14259,Belgium
540137,48573C,CLOCK,47,2011-01-04 04:30:00,48.88,15951,Belgium
540138,92209C,BLUE PEN,16,2011-01-04 05:00:00,23.63,16061,Italy
540139,12254A,PHOTO FRAME,39,2011-01-04 05:30:00,132.36,13639,Italy
540140,28170C,NOTEBOOK,26,2011-01-04 06:00:00,52.32,12494,Italy
540141,50729B,BLUE PEN,24,2011-01-04 06:30:00,91.95,15279,Spain
540142,78709B,GIFT BAG,6,2011-01-04 07:00:00,75.02,17058,Australia
540143,86443A,WATER BOTTLE,13,2011-01-04 07:30:00,101.5,16157,Italy
540144,92748C,TOY CAR,15,2011-01-04 08:00:00,2.28,15505,Germany
540145,59619B,WHITE MUG,24,2011-01-04 08:30:00,117.95,13125,Portugal
540146,89309C,PHOTO FRAME,37,2011-01-04 09:00:00,61.37,18006,Germany
540147,94844C,GIFT BAG,7,2011-01-04 09:30:00,87.45,13340,Spain
540148,32488B,RED MUG,10,2011-01-04 10:00:00,33.18,14157,Belgium
540149,66120C,CLOCK,38,2011-01-04 10:30:00,131.88,14166,Spain
540150,60004C,PHOTO FRAME,11,2011-01-04 11:00:00,6.84,16198,France
540151,53937A,CANDLE,10,2011-01-04 11:30:00,101.7,16679,France
540152,47763A,WATER BOTTLE,31,2011-01-04 12:00:00,32.33,16335,Germany
540153,64401B,BLUE PEN,14,2011-01-04 12:30:00,72.97,12638,Italy
540154,15112C,BLUE PEN,28,2011-01-04 13:00:00,149.47,16665,Belgium
540155,25689A,WHITE MUG,5,2011-01-04 13:30:00,7.78,14657,Italy
540156,97061A,TOY CAR,10,2011-01-04 14:00:00,65.05,17228,Netherlands
540157,30237B,CLOCK,26,2011-01-04 14:30:00,72.96,15521,Australia
540158,28950A,CANDLE,39,2011-01-04 15:00:00,142.84,15110,Germany
540159,73924C,BLUE PEN,7,2011-01-04 15:30:00,64.52,12710,France
540160,52669B,PHOTO FRAME,19,2011-01-04 16:00:00,51.99,12913,Australia
540161,71305C,BLUE PEN,39,2011-01-04 16:30:00,74.43,12772,United Kingdom
540162,39426C,WATER BOTTLE,39,2011-01-04 17:00:00,5.47,15167,Germany
540163,70589A,PHOTO FRAME,8,2011-01-04 17:30:00,72.43,16785,Portugal
540164,16548B,RED MUG,30,2011-01-04 18:00:00,117.31,14962,Portugal
540165,52846A,WATER BOTTLE,29,2011-01-04 18:30:00,57.4,15718,Netherlands
540166,88129A,PHOTO FRAME,2,2011-01-04 19:00:00,58.86,14354,Spain
540167,39308A,WHITE MUG,41,2011-01-04 19:30:00,28.64,13972,Germany
540168,21857B,TOY CAR,15,2011-01-04 20:00:00,147.94,15811,Norway
540169,83712B,WHITE MUG,25,2011-01-04 20:30:00,139.39,15396,Italy
540170,36270C,CLOCK,33,2011-01-04 21:00:00,117.49,12573,France
540171,74085A,RED MUG,9,2011-01-04 21:30:00,69.7,17582,France
540172,81219A,PHOTO FRAME,40,2011-01-04 22:00:00,129.07,14118,Norway
540173,20564A,CANDLE,47,2011-01-04 22:30:00,104.71,16589,Italy
540174,62357A,GIFT BAG,25,2011-01-04 23:00:00,50.31,12738,France
540175,24404A,PHOTO FRAME,28,2011-01-04 23:30:00,52.67,16799,United Kingdom
540176,55112A,RED MUG,27,2011-01-05 00:00:00,50.65,15714,Norway
540177,40415C,CLOCK,40,2011-01-05 00:30:00,15.31,16497,Portugal
540178,24645B,PHOTO FRAME,32,2011-01-05 01:00:00,51.19,15014,France
540179,64151C,WHITE MUG,29,2011-01-05 01:30:00,126.11,12739,Germany
540180,90767B,WHITE MUG,31,2011-01-05 02:00:00,129.06,16210,Italy
540181,68920C,BLUE PEN,43,2011-01-05 02:30:00,47.75,16319,Italy
540182,95941A,WATER BOTTLE,14,2011-01-05 03:00:00,135.7,16170,Australia
540183,31608C,BLUE PEN,29,2011-01-05 03:30:00,51.86,15014,Australia
540184,39286C,RED MUG,39,2011-01-05 04:00:00,52.78,12942,Portugal
540185,84834A,CLOCK,15,2011-01-05 04:30:00,101.2,16863,Australia
540186,47805B,RED MUG,34,2011-01-05 05:00:00,30.99,17891,Portugal
540187,41568C,CANDLE,4,2011-01-05 05:30:00,7.3,18001,United Kingdom
540188,79247C,CLOCK,48,2011-01-05 06:00:00,91.89,13108,Norway
540189,42978A,GIFT BAG,28,2011-01-05 06:30:00,107.86,16031,Australia
540190,57647A,TOY CAR,35,2011-01-05 07:00:00,103.64,16218,France
540191,94128B,WHITE MUG,37,2011-01-05 07:30:00,142.19,17572,Belgium
540192,15413C,CLOCK,9,2011-01-05 08:00:00,31.88,13237,Belgium
540193,95871B,TOY CAR,17,2011-01-05 08:30:00,43.29,15071,Netherlands
540194,46704C,CANDLE,21,2011-01-05 09:00:00,145.67,16145,Netherlands
540195,93531A,GIFT BAG,40,2011-01-05 09:30:00,83.66,14504,Spain
540196,19086A,WHITE MUG,17,2011-01-05 10:00:00,17.61,17361,Norway
540197,93730A,WHITE MUG,17,2011-01-05 10:30:00,90.29,13251,Spain
540198,10626B,WHITE MUG,46,2011-01-05 11:00:00,89.3,13091,France
540199,81231C,TOY CAR,2,2011-01-05 11:30:00,73.52,15820,United Kingdom
540200,62743B,GIFT BAG,17,2011-01-05 12:00:00,2.42,12562,France
540201,52226A,WHITE MUG,33,2011-01-05 12:30:00,144.41,15469,Portugal
540202,83047B,WATER BOTTLE,39,2011-01-05 13:00:00,78.23,15790,Norway
540203,92902A,RED MUG,6,2011-01-05 13:30:00,47.31,15219,Belgium
540204,51752A,BLUE PEN,9,2011-01-05 14:00:00,115.21,12731,Germany
540205,76759B,BLUE PEN,16,2011-01-05 14:30:00,73.98,13878,Portugal
540206,16740B,PHOTO FRAME,43,2011-01-05 15:00:00,14.85,16354,Belgium
540207,74224A,WHITE MUG,42,2011-01-05 15:30:00,68.84,17409,Netherlands
540208,25724B,WHITE MUG,37,2011-01-05 16:00:00,94.9,14761,France
540209,81475C,CLOCK,14,2011-01-05 16:30:00,79.91,17656,Netherlands
540210,84229B,RED MUG,2,2011-01-05 17:00:00,43.42,17710,France
540211,89318B,BLUE PEN,9,2011-01-05 17:30:00,46.3,17462,Belgium
540212,92341B,BLUE PEN,39,2011-01-05 18:00:00,73.83,13852,Italy
540213,80877C,CLOCK,38,2011-01-05 18:30:00,66.13,15421,Italy
540214,90960A,TOY CAR,2,2011-01-05 19:00:00,63.82,15028,Netherlands
540215,43272A,CANDLE,31,2011-01-05 19:30:00,1.38,17621,Norway
540216,41270B,WATER BOTTLE,30,2011-01-05 20:00:00,92.25,18129,United Kingdom
540217,86816A,TOY CAR,6,2011-01-05 20:30:00,42.64,13138,France
540218,49299A,BLUE PEN,8,2011-01-05 21:00:00,143.42,17050,France
540219,27180C,RED MUG,25,2011-01-05 21:30:00,135.29,16930,Italy
540220,75298B,PHOTO FRAME,31,2011-01-05 22:00:00,47.53,13635,Germany
540221,92542B,PHOTO FRAME,4,2011-01-05 22:30:00,94.94,16215,Belgium
540222,36328A,TOY CAR,23,2011-01-05 23:00:00,76.68,14643,Germany
540223,24824B,TOY CAR,4,2011-01-05 23:30:00,102.46,16773,Germany
540224,35541B,CANDLE,20,2011-01-06 00:00:00,20.43,16530,Norway
540225,70872C,PHOTO FRAME,3,2011-01-06 00:30:00,134.07,13818,Italy
540226,88165A,TOY CAR,42,2011-01-06 01:00:00,144.15,15630,Germany
540227,84349C,CLOCK,36,2011-01-06 01:30:00,15.75,14111,Australia
540228,79829B,PHOTO FRAME,8,2011-01-06 02:00:00,46.9,13445,Italy
540229,90594B,RED MUG,36,2011-01-06 02:30:00,127.56,15945,Portugal
540230,48219C,TOY CAR,3,2011-01-06 03:00:00,93.45,14660,United Kingdom
540231,98717B,WATER BOTTLE,7,2011-01-06 03:30:00,50.63,18155,Belgium
540232,70806B,GIFT BAG,18,2011-01-06 04:00:00,87.31,17914,Norway
540233,40047C,CANDLE,12,2011-01-06 04:30:00,38.01,14505,Germany
540234,79539A,WATER BOTTLE,15,2011-01-06 05:00:00,40.82,17606,Germany
540235,74690C,WHITE MUG,8,2011-01-06 05:30:00,143.17,16557,Australia
540236,69032A,BLUE PEN,28,2011-01-06 06:00:00,132.49,13761,Netherlands
540237,81716A,GIFT BAG,26,2011-01-06 06:30:00,13.23,17261,Germany
540238,82254A,WHITE MUG,38,2011-01-06 07:00:00,108.02,15001,Norway
540239,87197A,PHOTO FRAME,23,2011-01-06 07:30:00,82.22,16986,Spain
540240,80242A,BLUE PEN,33,2011-01-06 08:00:00,136.08,16733,Australia
540241,83701C,CLOCK,18,2011-01-06 08:30:00,69.2,17412,Norway
540242,99352B,BLUE PEN,10,2011-01-06 09:00:00,108.57,15480,Germany
540243,48889B,BLUE PEN,35,2011-01-06 09:30:00,112.56,14045,Australia
540244,60413B,RED MUG,20,2011-01-06 10:00:00,140.49,17047,France
540245,15467C,CANDLE,39,2011-01-06 10:30:00,14.66,14507,Belgium
540246,66765B,TOY CAR,20,2011-01-06 11:00:00,102.93,16022,Norway
540247,33427C,PHOTO FRAME,27,2011-01-06 11:30:00,93.66,14293,Portugal
540248,91181C,PHOTO FRAME,5,2011-01-06 12:00:00,58.85,13044,Norway
540249,51792A,WATER BOTTLE,8,2011-01-06 12:30:00,117.08,15022,Portugal
540250,20967B,CANDLE,9,2011-01-06 13:00:00,95.11,16789,France
540251,42073C,CANDLE,46,2011-01-06 13:30:00,45.7,14439,Netherlands
540252,58129C,RED MUG,12,2011-01-06 14:00:00,62.53,17669,Belgium
540253,68378A,PHOTO FRAME,19,2011-01-06 14:30:00,104.61,12945,Australia
540254,77904A,CANDLE,19,2011-01-06 15:00:00,124.18,16680,Belgium
540255,20780B,RED MUG,22,2011-01-06 15:30:00,117.55,17005,Netherlands
540256,50417B,WHITE MUG,32,2011-01-06 16:00:00,21.21,14240,Australia
540257,84671A,WHITE MUG,36,2011-01-06 16:30:00,134.57,12413,Italy
540258,98377B,BLUE PEN,12,2011-01-06 17:00:00,136.96,16497,Belgium
540259,65594B,PHOTO FRAME,49,2011-01-06 17:30:00,126.77,18035,Germany
540260,79565A,TOY CAR,32,2011-01-06 18:00:00,83.28,13623,United Kingdom
540261,72545A,WATER BOTTLE,39,2011-01-06 18:30:00,10.55,17516,Spain
540262,76567A,WHITE MUG,17,2011-01-06 19:00:00,135.96,15573,Spain
540263,24528C,CANDLE,46,2011-01-06 19:30:00,20.75,14416,Netherlands
540264,11346B,CANDLE,31,2011-01-06 20:00:00,135.91,16171,Spain
540265,65862A,PHOTO FRAME,50,2011-01-06 20:30:00,116.0,14571,Germany
540266,85942C,BLUE PEN,4,2011-01-06 21:00:00,133.79,13570,Netherlands
540267,21947B,RED MUG,28,2011-01-06 21:30:00,71.77,16498,Portugal
540268,10580C,NOTEBOOK,33,2011-01-06 22:00:00,143.0,13228,Germany
540269,43438B,CANDLE,50,2011-01-06 22:30:00,106.9,12800,Australia
540270,39986C,PHOTO FRAME,30,2011-01-06 23:00:00,22.84,16157,Belgium
540271,56189A,CLOCK,21,2011-01-06 23:30:00,13.25,17297,Belgium
540272,50138A,NOTEBOOK,30,2011-01-07 00:00:00,94.92,13085,Portugal
540273,66961B,BLUE PEN,46,2011-01-07 00:30:00,72.76,14797,Italy
540274,61192C,GIFT BAG,6,2011-01-07 01:00:00,44.56,12819,Australia
540275,28468A,CLOCK,9,2011-01-07 01:30:00,29.05,14436,United Kingdom
540276,85759A,GIFT BAG,24,2011-01-07 02:00:00,6.32,12891,Portugal
540277,99861B,RED MUG,13,2011-01-07 02:30:00,34.29,13648,Spain
540278,95206C,PHOTO FRAME,28,2011-01-07 03:00:00,59.38,18094,Spain
540279,23893B,GIFT BAG,39,2011-01-07 03:30:00,71.51,17718,Spain
540280,84014C,GIFT BAG,29,2011-01-07 04:00:00,1.91,14628,United Kingdom
540281,73106C,BLUE PEN,45,2011-01-07 04:30:00,53.25,14286,Australia
540282,89497C,WATER BOTTLE,24,2011-01-07 05:00:00,114.18,17512,Belgium
540283,98703C,WATER BOTTLE,18,2011-01-07 05:30:00,90.13,15587,Norway
540284,51861C,NOTEBOOK,19,2011-01-07 06:00:00,33.65,13237,Norway
540285,97380A,NOTEBOOK,43,2011-01-07 06:30:00,81.17,16191,Australia
540286,51486B,RED MUG,49,2011-01-07 07:00:00,42.83,15176,Portugal
540287,71218B,NOTEBOOK,39,2011-01-07 07:30:00,54.74,14271,Italy
540288,73629B,GIFT BAG,38,2011-01-07 08:00:00,74.68,17606,France
540289,14405A,PHOTO FRAME,11,2011-01-07 08:30:00,5.32,17424,Germany
540290,21345A,CANDLE,27,2011-01-07 09:00:00,97.67,14252,Australia
540291,60146A,CANDLE,30,2011-01-07 09:30:00,94.1,13228,Belgium
540292,28644A,PHOTO FRAME,7,2011-01-07 10:00:00,101.35,15750,Belgium
540293,64528B,CANDLE,29,2011-01-07 10:30:00,40.58,14164,Netherlands
540294,84965B,BLUE PEN,12,2011-01-07 11:00:00,47.23,16032,Portugal
540295,84288B,NOTEBOOK,10,2011-01-07 11:30:00,136.51,14130,Spain
540296,36590A,CANDLE,5,2011-01-07 12:00:00,135.0,14536,Belgium
540297,29705A,CLOCK,32,2011-01-07 12:30:00,103.27,15700,Germany
540298,85058B,GIFT BAG,18,2011-01-07 13:00:00,132.02,15290,Belgium
540299,35854A,WHITE MUG,5,2011-01-07 13:30:00,15.26,16711,Spain
540300,63171B,CANDLE,18,2011-01-07 14:00:00,78.91,14012,Netherlands
540301,27686B,GIFT BAG,30,2011-01-07 14:30:00,98.77,16212,Belgium
540302,84533A,BLUE PEN,32,2011-01-07 15:00:00,44.45,17004,United Kingdom
540303,22964B,PHOTO FRAME,28,2011-01-07 15:30:00,108.84,13004,Portugal
540304,54525A,NOTEBOOK,11,2011-01-07 16:00:00,111.79,12646,Spain
540305,69201B,PHOTO FRAME,8,2011-01-07 16:30:00,125.8,12917,Spain
540306,25731A,WATER BOTTLE,27,2011-01-07 17:00:00,41.69,17537,Belgium
540307,22116C,GIFT BAG,21,2011-01-07 17:30:00,81.64,16752,Norway
540308,31015C,WATER BOTTLE,31,2011-01-07 18:00:00,112.2,16479,Portugal
540309,43073A,BLUE PEN,44,2011-01-07 18:30:00,11.29,18070,Norway
540310,74902C,WATER BOTTLE,26,2011-01-07 19:00:00,111.21,14102,Netherlands
540311,14723A,CANDLE,1,2011-01-07 19:30:00,51.1,17607,Portugal
540312,74379C,NOTEBOOK,40,2011-01-07 20:00:00,50.5,15482,Portugal
540313,66781A,BLUE PEN,13,2011-01-07 20:30:00,48.67,17834,Australia
540314,46172A,BLUE PEN,5,2011-01-07 21:00:00,125.48,15099,Belgium
540315,30468B,CANDLE,28,2011-01-07 21:30:00,82.51,17922,Portugal
540316,69590C,RED MUG,45,2011-01-07 22:00:00,65.28,14593,Italy
540317,21116A,TOY CAR,8,2011-01-07 22:30:00,72.61,13655,United Kingdom
540318,17599C,CLOCK,39,2011-01-07 23:00:00,56.83,17057,Australia
540319,30252B,WHITE MUG,42,2011-01-07 23:30:00,9.76,16340,Portugal
540320,93082C,TOY CAR,26,2011-01-08 00:00:00,75.7,16504,Belgium
540321,19588B,TOY CAR,5,2011-01-08 00:30:00,96.38,15937,Italy
540322,37197C,NOTEBOOK,15,2011-01-08 01:00:00,4.19,12827,Netherlands
540323,65976B,PHOTO FRAME,5,2011-01-08 01:30:00,134.4,17055,Portugal
540324,54646C,BLUE PEN,29,2011-01-08 02:00:00,59.17,12750,Norway
540325,59926A,CANDLE,2,2011-01-08 02:30:00,60.78,16900,Belgium
540326,41806B,CANDLE,33,2011-01-08 03:00:00,51.8,17720,Belgium
540327,72025C,WATER BOTTLE,38,2011-01-08 03:30:00,32.13,12917,France
540328,26322B,WHITE MUG,5,2011-01-08 04:00:00,9.65,18241,Germany
540329,20386C,NOTEBOOK,23,2011-01-08 04:30:00,134.15,12911,Belgium
540330,68588C,CLOCK,12,2011-01-08 05:00:00,141.22,13078,United Kingdom
540331,11036A,BLUE PEN,37,2011-01-08 05:30:00,65.52,15822,Spain
540332,11753C,PHOTO FRAME,26,2011-01-08 06:00:00,91.23,16166,France
540333,11519A,BLUE PEN,8,2011-01-08 06:30:00,85.21,15806,Netherlands
540334,66416B,WHITE MUG,7,2011-01-08 07:00:00,16.39,14076,Italy
540335,73531A,WATER BOTTLE,3,2011-01-08 07:30:00,97.4,13730,Italy
